,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
3136,40700F,images/40700F.jpg,Southeast Culture Area,Calusa,700-1560 CE,"F= PL Shoulder Attachment. Spiritedly carved figure head of wolf with ear and shoulder attachments. For use in dramatic dance ceremonials. Features and face marks painted in white, black and pink. Found bundled and swathed in green palmetto strips.",Wood | Pigment,Figure Fragment,Roman Period,United States of America | Florida | Southwest Coast (Florida) | Collier County | Key Marco,American
3137,40718A,images/40718A.jpg,Southeast Culture Area,Calusa,1400,"Top half of alligator head. Large well formed figure head of crocodile (alligator). Elaborately painted with white, black and blue lines of aspect. Head (A) and Jaw (B) separate. Nearly perfect.",Wood | Pigment,Figure Fragment,Roman Period,United States of America | Florida | Southwest Coast (Florida) | Collier County | Key Marco,American
3138,40718B,images/40718B.jpg,Southeast Culture Area,Calusa,1400,"Jaw of alligator head. Large well formed figure head of crocodile (alligator). Elaborately painted with white, black and blue lines of aspect. Head (A) and Jaw (B) separate. Nearly perfect.",Wood | Pigment,Figure Fragment,Roman Period,United States of America | Florida | Southwest Coast (Florida) | Collier County | Key Marco,American
3143,41-24-1,images/41-24-1.jpg,Northwest Coast Culture Area,Haida,5,Hooked. Incised design: beaver.,Claw | Silver,Bracelet,Joseon Dynasty,Canada | British Columbia | Queen Charlotte Islands,American
3144,41-24-7,images/41-24-7.jpg,Southwest Culture Area,Tohono O'odham,five,"Bowl shaped basket with rounded base; coiled with black geometric decoration, good condition but slightly faded.",Plant Fiber,Basket,Proto-Nasca,Arizona,American
3145,41-24-85,images/41-24-85.jpg,Southwest Culture Area,Pueblo | Cochiti,two,"Flat base, sides expanding to equator, contracting to neck; flaring lip; one vertical loop handle. Red base, greyish white slip; one decorated band of two panels with scroll and fusiform design.",Clay,Pitcher,Roman Period,New Mexico | Zuni Pueblo | Cochiti Pueblo,American
3147,41-24-93,images/41-24-93.jpg,Southwest Culture Area,Pima,1901,"Black/Red; Bird. Red slip, black linear design; polished.",Clay,Effigy Vessel,Qing Dynasty | 20th Century,Arizona,American
3148,41-24-96,images/41-24-96.jpg,Southwest Culture Area,Pima,1901,"Black/Red; fragment, deteriorated",Clay,Jar,Qing Dynasty | 20th Century,Arizona,American
3149,41-24-97,images/41-24-97.jpg,Southwest Culture Area,Pima,1901,Black on Red,Clay,Jar,Qing Dynasty | 20th Century,Arizona,American
3150,41-24-9B,images/41-24-9B.jpg,Southwest Culture Area,Navajo,one,"Silver horseshoe, stamped and punched, connected by silver wire to a silver loop [hinged for a pierced ear] with a small silver hemisphere soldered to it, with sand-cast floral or insect pattern dangling from the arch of the horseshoe.",Silver,Earring,Mousterian,Arizona (uncertain) | New Mexico (uncertain),American
3161,41-4-1,images/41-4-1.jpg,Great Plains Culture Area,Sioux,one,"Plaited horse-hair. ""Probably taken at time of Custer's stand by Mrs. Perkins' great uncle, one of the few survivors.""",Hair,Lariat,Mousterian,Dakotas,American
3168,41564,images/41564.jpg,Arctic Culture Area,Eskimo,Two,Carved in Whale Shape. Whale drag toggle. Ko-o-tig.,Ivory | Beads,Toggle,Birnirk,Alaska | Nuwuk | Point Barrow Region,American
3169,41781,images/41781.jpg,Arctic Culture Area,Eskimo,Two,Wooden half-mask. Forehead to nostrils. A-ka-too(n).,Wood,Dance Mask,Birnirk,Alaska | Point Barrow,American
3170,42-1-26,images/42-1-26.jpg,Great Plains Culture Area,Cheyenne (culture) | Arapaho,four,"Buckskin. Rectangular: fringed. One face beaded: dark blue, red, and yellow: diamond-shaped pattern with four lobes.",Buckskin | Bead,Pouch,Geometric Period,United States of America | Oklahoma | Near Canadian River,American
3171,42-1-34,images/42-1-34.jpg,Great Plains Culture Area,Cheyenne (culture) | Arapaho,Six,"Six thongs wrapped with grass dyed yellow, black, green, red; each ending in animal hoof with loop.",Leather | Quill | Hoof,Lodge Ornament,Cupishnique Period,United States of America | Oklahoma | Near Canadian River,American
3172,42-1-40A,images/42-1-40A.jpg,Southwest Culture Area,Apache,97,Copper wire hoop; open ends; pendent of abalone shell attached by thong.,Copper | Abalone Shell,Bracelet,Mousterian,Oklahoma | Near Beef Creek,American
3173,42-1-71B,images/42-1-71B.jpg,Southwest Culture Area,Apache,97,Oval; open ends. Copper with abalone shell pendant.,Copper | Shell,Bracelet,Mousterian,Oklahoma | Near Beef Creek,American
3174,42-1-75A,images/42-1-75A.jpg,Great Plains Culture Area,Arapaho,One,"One of a pair of moccasins with a hard sole. Buckskin top stained yellow and beaded blue, red, yellow and white.",Buckskin | Rawhide | Glass,Moccasin,Iron Age | Hallstatt I | Bylany Phase,United States of America | Canadian River,American
3175,42-1-75B,images/42-1-75B.jpg,Great Plains Culture Area,Arapaho,One,"One of a pair of moccasins with a hard sole. Buckskin top stained yellow and beaded blue, red, yellow and white.",Buckskin | Rawhide | Glass,Moccasin,Iron Age | Hallstatt I | Bylany Phase,United States of America | Canadian River,American
3178,42-21-160,images/42-21-160.jpg,Andean,Mapuche,12,Silver. Spoon-shaped heads with a smaller bowl on each side.,Silver,Pin,Neo-Babylonian,Chile,American
3179,42-21-161,images/42-21-161.jpg,Andean,Mapuche,12,Silver. Spoon-shaped heads with a smaller bowl on each side.,Silver,Pin,Neo-Babylonian,Chile,American
3187,42-30-566,images/42-30-566.jpg,Central Africa,Baluba,three,Flat copper blade with crescentic top and recurved edge; three pierced holes; human face in low relief on each face. Wooden handle completely covered with sheet copper.,Copper | Wood,Axe,Bronze Age,Zaire,African
3189,42-35-193,images/42-35-193.jpg,Central American,Cakchiquel,four,"Uncut saint's huipil of one piece with a blue- black cotton ground. Brocaded birds on shoulder. Solid zigzag band and single figures of men and plants in red, lavender, green, white and yellow cotton and rose, purple and green silk.
As per Sigrid Meier, ""Warp: 58 epi, two singles, Z twist, indigo cotton. Weft: 18 ppi, four singles, Z twist, indigo cotton. Warp faced plain weave. Supplementary weft is single faced. One panel, four selvedge. Woven on a backstrap loom.""",Cotton | Silk,Blouse,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3190,42-35-194,images/42-35-194.jpg,Central American,Cakchiquel,four,"Ceremonial huipil used as a wedding veil in two pieces with no randa and no neck opening. Oe end is hemmed. Red ground, compound lengthwise stripes of blue, light blue, lavender, white, yellow and brown. Brocaded animals and plants in dark green, lavender, white, dark blue and yellow cotton and green and purple silk.
As per Sigrid Meier, ""Warp: 56 epi, two singles, Z twist, multi colored striped cotton. Weft: 20 ppi, four singles, Z twist, multi colored striped cotton. Warp faced predominantly plain weave. Supplementary weft is two faced. Two panels, four selvedges, one is hemmed. Woven on a backstrap loom.""",Cotton | Silk,Blouse,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3191,42-35-205,images/42-35-205.jpg,Central American,Cakchiquel,four,"narrow breadth of red cotton with lengthwise stripes of yellow and lavender, gathered at top, embroidered animals plants and birds in white yellow and lavender cotton and purple green and rose silk",Cotton | Silk,Cap,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3192,42-35-206,images/42-35-206.jpg,Central American,Cakchiquel,Pre 1933,"Red cotton with narrow yellow and lavender stripes and green pin stripes, black silk braid around collar sleeves bottom and down front, two pocckets on right side one on left.",Cotton | Silk,Jacket,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3193,42-35-209,images/42-35-209.jpg,Central American,Cakchiquel,Pre 1933,"Fiber bag, woven. Plaited carrying cord.",Maguey,Bag,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3194,42-35-517,images/42-35-517.jpg,Central American,Cakchiquel,28,"Dark blue skirt with alternating groups of pinstripes and single pinstripes with shadow stripes in corresponding grouping forming plaid.
As per Sigrid Meier, ""Warp: 48 epi, single, Z twist, dark and light indigo cotton. Weft: 28 ppi, single Z twist, dark and light indigo cotton. Balanced plain weave.""",Cotton,Skirt Length,Geometric Period,Guatemala | San Juan Sacatepequez | Department of Guatemala,American
3195,42208,images/42208.jpg,Arctic Culture Area,Eskimo,one,Snow goggles. Il-i-gu(k). Wood; one piece.,Wood,Snow Goggles,Mousterian,Alaska | Point Barrow,American
3196,42258,images/42258.jpg,Arctic Culture Area,Eskimo,Two,Tood lik ta. worn by women after returning from ice. worn at black. Head U. Adamsii.,Loon Skin,Amulet,Birnirk,Alaska | Point Barrow,American
3218,42926,images/42926.jpg,Northeast Culture Area,Woodland,10,10 fragemtns of large pot/jar,Ceramic,Sherd,Babylonian,United States of America | Pennsylvania | Pike County (Pennsylvania) | Milford (Pennsylvania),American
3219,42929,images/42929.jpg,Northeast Culture Area,Woodland,33,33 pieces of pottery,Ceramic,Sherd,Hissar III,United States of America | Pennsylvania | Pike County (Pennsylvania) | Milford (Pennsylvania),American
3240,44-8-2,images/44-8-2.jpg,Great Plains Culture Area,Plains Indian,three,Oil on canvas. Man and woman in foreground; canoe and tipis with group of three at campfire. Painted by Dr. Vaillant's Uncle.,Canvas | Oil,Painting,Bronze Age,United States of America,American
3258,45-14-186,images/45-14-186.jpg,Northeast Culture Area,Woodland,one,Flint. Triangular with one broken basal point.,Flint,Projectile Point,Mousterian,United States of America | Pennsylvania | Monongahela River | Fayette County (Pennsylvania) | Brownsville,American
3259,45-14-188,images/45-14-188.jpg,Northeast Culture Area,Woodland,one,Flint. Triangular with one broken basal point.,Flint,Projectile Point,Mousterian,United States of America | Pennsylvania | Monongahela River | Fayette County (Pennsylvania) | Brownsville,American
3277,45-15-1005A,images/45-15-1005A.jpg,Southwest Culture Area,Navajo,Early 19th Century,"Arrow with a reed shaft. Wooden foreshaft with a wire guard. Sinew binds dark, feather fletching to the nocked end.",Cane (plant) | Wood | Iron | Fiber | Feather,Arrow,Qing Dynasty,Arizona | Canyon De Chelley,American
3278,45-15-1013A,images/45-15-1013A.jpg,Southeast Culture Area,Cheyenne (culture),3,"3-feathered; painted with bands of red and black. Fine obsidian points, single notch on each side.",Wood | Obsidian | Feather,Arrow,Hissar IB,Peru | Pachacamac | Gravefield I,American
3279,45-15-1013B,images/45-15-1013B.jpg,Great Plains Culture Area,Cheyenne (culture),3,"3-feathered; painted with bands of red and black. Fine obsidian points, double notch on each side.",Wood | Obsidian | Feather,Arrow,Hissar IB,Peru | Pachacamac | Gravefield I,American
3280,45-15-1013C,images/45-15-1013C.jpg,Great Plains Culture Area,Cheyenne (culture),3,"3-feathered; painted with bands of red and black. Fine obsidian points, single notch on each side.",Wood | Obsidian | Feather,Arrow,Hissar IB,Peru | Pachacamac | Gravefield I,American
3281,45-15-1013E,images/45-15-1013E.jpg,Great Plains Culture Area,Cheyenne (culture),3,"3-feathered; painted with bands of red and black. Fine obsidian points, double notch on each side.",Wood | Obsidian | Feather,Arrow,Hissar IB,Peru | Pachacamac | Gravefield I,American
3282,45-15-1013G,images/45-15-1013G.jpg,Great Plains Culture Area,Cheyenne (culture),3,"3-feathered; painted with bands of red and black. Fine obsidian points, double notch on each side.",Wood | Obsidian | Feather,Arrow,Hissar IB,Peru | Pachacamac | Gravefield I,American
3283,45-15-1014,images/45-15-1014.jpg,Great Plains Culture Area,Cheyenne (culture),3,"Conical head of buffalo horn. Tuft of down feathers, dyed deep lavender, at shaft end.",Wood | Buffalo Horn | Down (material) | Feather,Arrow,Hissar IB,Great Plains (Plain),American
3284,45-15-102,images/45-15-102.jpg,Southwest Culture Area,Pueblo | Keresan,1880-1890,"Acoma or Laguna Polychrome ware, shouldered, concave neck, red bottom. Design consists of red, yellow, black on white with black and white check on neck.",Clay,Jar,Historic Period,New Mexico | Laguna,American
3285,45-15-1026A,images/45-15-1026A.jpg,Great Plains Culture Area,Sioux,3,Stone heads inserted in wooden shaft. 3 very long feathers. Sinew wrapping at head and at both ends of feathers. Wavy grooves lengthwise of shaft.,Wood | Flint | Feather,Arrow,Hissar IB,Great Plains (Plain),American
3289,45-15-1029C,images/45-15-1029C.jpg,Great Plains Culture Area,Sioux,3,"Obsidian points, ""very fine,"" triangular, notched. 3-feathered. With black painted bands; c, red and black.",Wood | Feather | Quartzite,Arrow,Hissar IB,Great Plains (Plain),American
3290,45-15-103,images/45-15-103.jpg,Southwest Culture Area,Pueblo | Laguna,1880-1890,"Laguna Polychrome. Vertically ovoid, straight neck, red bottom. Design: bird under double arch (rainbow), yellow, red and black on white. Bird and floral motifs from European design. Black on white rectangles are of Anasazi origin.",Clay,Jar,Historic Period,New Mexico | Laguna,American
3291,45-15-1038A,images/45-15-1038A.jpg,Great Plains Culture Area,Sioux,three,"Long triangular stone points, side-notched and barbed, sinew-bound to wooden shaft. Sinew binding behind pseudo-foreshaft and at both ends of three very long feathers, painted decoration.",Wood | Obsidian | Sinew | Feather,Arrow,Bronze Age,United States of America,American
